ID,Watershed,UZTWM,UZFWM,UZK,ZPERC,REXP,LZTWM,LZFSM,LZFPM,LZSK,LZPK,PFREE
68,68,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
69,69,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
70,70,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
71,71,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
72,72,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
73,73,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
74,74,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
75,75,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
76,76,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
77,77,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
78,78,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
79,79,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
80,80,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
81,81,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
82,82,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
83,83,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
84,84,49.8,29.88,0.38,60.41,2.62,115.2,19.69,49.43,0.15,0,0.28
85,85,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
86,86,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
87,87,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
88,88,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
89,89,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
90,90,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
91,91,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
92,92,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
93,93,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
94,94,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
95,95,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
96,96,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
